vocabulary size: 74
n tunes: 375
n train tunes: 311
n validation tunes: 64
setting learning rate to 0.0003247
376/485 (epoch 77.376) train_loss=313.55584717 time/batch=18.03s
377/485 (epoch 77.582) train_loss=423.89556885 time/batch=22.98s
378/485 (epoch 77.788) train_loss=524.80712891 time/batch=29.55s
379/485 (epoch 77.994) train_loss=666.66290283 time/batch=47.08s
setting learning rate to 0.0003149
380/485 (epoch 78.199) train_loss=307.81216431 time/batch=18.10s
381/485 (epoch 78.405) train_loss=410.38360596 time/batch=24.39s
382/485 (epoch 78.611) train_loss=491.01586914 time/batch=27.13s
383/485 (epoch 78.817) train_loss=939.28668213 time/batch=199.50s
setting learning rate to 0.0003055
384/485 (epoch 79.023) train_loss=551.39605713 time/batch=34.80s
385/485 (epoch 79.228) train_loss=390.42520142 time/batch=22.48s
386/485 (epoch 79.434) train_loss=933.95269775 time/batch=211.44s
387/485 (epoch 79.640) train_loss=373.77493286 time/batch=22.93s
setting learning rate to 0.0002963
388/485 (epoch 79.846) train_loss=496.70526123 time/batch=26.52s
389/485 (epoch 80.051) train_loss=372.57745361 time/batch=19.68s
390/485 (epoch 80.257) train_loss=763.12518311 time/batch=64.16s
391/485 (epoch 80.463) train_loss=333.49407959 time/batch=22.34s
setting learning rate to 0.0002874
392/485 (epoch 80.669) train_loss=425.00601196 time/batch=23.48s
393/485 (epoch 80.875) train_loss=602.85168457 time/batch=37.98s
394/485 (epoch 81.080) train_loss=742.95361328 time/batch=73.72s
395/485 (epoch 81.286) train_loss=306.00735474 time/batch=17.85s
setting learning rate to 0.0002788
396/485 (epoch 81.492) train_loss=373.35864258 time/batch=19.90s
397/485 (epoch 81.698) train_loss=331.70617676 time/batch=22.16s
398/485 (epoch 81.904) train_loss=589.64501953 time/batch=34.67s
399/485 (epoch 82.109) train_loss=488.90640259 time/batch=35.63s
setting learning rate to 0.0002705
  saved to metadata
